gamma,targetVoter,rounds,samplesPerWorld,empiricalAdvantage,theoryAdvantage,uncappedTheoryAdvantage,etaL2,maxAbsCoordinateDelta,kappa,rhoTau
0.10,2,37,10000,0.500000,0.500000,6.107097,0.851923,0.674193,100,3000000
0.10,2,38,10000,0.500000,0.500000,6.189075,0.851923,0.674193,100,3000000
0.10,2,39,10000,0.500000,0.500000,6.269982,0.851923,0.674193,100,3000000
0.10,2,40,10000,0.500000,0.500000,6.349857,0.851923,0.674193,100,3000000
0.10,2,41,10000,0.500000,0.500000,6.428740,0.851923,0.674193,100,3000000
0.10,2,42,10000,0.500000,0.500000,6.506667,0.851923,0.674193,100,3000000
0.10,2,43,10000,0.500000,0.500000,6.583672,0.851923,0.674193,100,3000000
0.10,2,44,10000,0.500000,0.500000,6.659786,0.851923,0.674193,100,3000000
0.10,2,45,10000,0.500000,0.500000,6.735041,0.851923,0.674193,100,3000000
0.10,2,46,10000,0.500000,0.500000,6.809463,0.851923,0.674193,100,3000000
0.10,2,47,10000,0.500000,0.500000,6.883081,0.851923,0.674193,100,3000000
0.10,2,48,10000,0.500000,0.500000,6.955920,0.851923,0.674193,100,3000000
0.10,2,49,10000,0.500000,0.500000,7.028004,0.851923,0.674193,100,3000000
0.10,2,50,10000,0.500000,0.500000,7.099356,0.851923,0.674193,100,3000000
