mode,instanceId,expectedTruthfulReward,expectedShortcutReward,expectedRewardGap
psi=0.05,526,1062675.600000,785293.800000,277381.80000000016
psi=0.10,526,1111267.200000,864705.600000,246561.6000000001
psi=0.20,526,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,526,1305633.600000,1182352.800000,123280.80000000028
baseline,527,1257352.500000,1033536.375000,223816.125
psi=0.05,527,1281617.250000,1080182.737500,201434.51249999995
psi=0.10,527,1305882.000000,1126829.100000,179052.8999999999
psi=0.20,527,1354411.500000,1220121.825000,134289.6749999998
psi=0.30,527,1402941.000000,1313414.550000,89526.44999999995
baseline,528,1741935.000000,885245.250000,856689.75
psi=0.05,528,1717741.500000,946720.725000,771020.7749999999
psi=0.10,528,1693548.000000,1008196.200000,685351.7999999999
psi=0.20,528,1645161.000000,1131147.150000,514013.84999999986
psi=0.30,528,1596774.000000,1254098.100000,342675.90000000014
baseline,529,1628048.500000,1033536.375000,594512.125
psi=0.05,529,1615243.650000,1080182.737500,535060.9125000001
psi=0.10,529,1602438.800000,1126829.100000,475609.7000000002
psi=0.20,529,1576829.100000,1220121.825000,356707.2749999999
psi=0.30,529,1551219.400000,1313414.550000,237804.84999999986
baseline,530,1014084.000000,705882.000000,308202.0
psi=0.05,530,1062675.600000,785293.800000,277381.80000000016
psi=0.10,530,1111267.200000,864705.600000,246561.6000000001
psi=0.20,530,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,530,1305633.600000,1182352.800000,123280.80000000028
baseline,531,1741935.000000,1257352.500000,484582.5
psi=0.05,531,1717741.500000,1281617.250000,436124.25
psi=0.10,531,1693548.000000,1305882.000000,387666.0
psi=0.20,531,1645161.000000,1354411.500000,290749.49999999977
psi=0.30,531,1596774.000000,1402941.000000,193833.00000000023
baseline,532,885245.250000,1257352.500000,-372107.25
psi=0.05,532,946720.725000,1281617.250000,-334896.5249999999
psi=0.10,532,1008196.200000,1305882.000000,-297685.79999999993
psi=0.20,532,1131147.150000,1354411.500000,-223264.3500000001
psi=0.30,532,1254098.100000,1402941.000000,-148842.8999999999
baseline,533,885245.250000,439024.250000,446221.0
psi=0.05,533,946720.725000,545121.825000,401598.9
psi=0.10,533,1008196.200000,651219.400000,356976.79999999993
psi=0.20,533,1131147.150000,863414.550000,267732.59999999986
psi=0.30,533,1254098.100000,1075609.700000,178488.40000000014
baseline,534,1014084.000000,705882.000000,308202.0
psi=0.05,534,1062675.600000,785293.800000,277381.80000000016
psi=0.10,534,1111267.200000,864705.600000,246561.6000000001
psi=0.20,534,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,534,1305633.600000,1182352.800000,123280.80000000028
baseline,535,1014084.000000,439024.250000,575059.75
psi=0.05,535,1062675.600000,545121.825000,517553.775
psi=0.10,535,1111267.200000,651219.400000,460047.80000000005
psi=0.20,535,1208450.400000,863414.550000,345035.84999999986
psi=0.30,535,1305633.600000,1075609.700000,230023.90000000014
baseline,536,1014084.000000,1161290.000000,-147206.0
psi=0.05,536,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,536,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,536,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,536,1305633.600000,1364516.000000,-58882.39999999991
baseline,537,1741935.000000,705882.000000,1036053.0
psi=0.05,537,1717741.500000,785293.800000,932447.7000000001
psi=0.10,537,1693548.000000,864705.600000,828842.3999999999
psi=0.20,537,1645161.000000,1023529.200000,621631.7999999997
psi=0.30,537,1596774.000000,1182352.800000,414421.2000000004
baseline,538,1257352.500000,1014084.000000,243268.5
psi=0.05,538,1281617.250000,1062675.600000,218941.6499999999
psi=0.10,538,1305882.000000,1111267.200000,194614.7999999998
psi=0.20,538,1354411.500000,1208450.400000,145961.1000000001
psi=0.30,538,1402941.000000,1305633.600000,97307.3999999999
baseline,539,1257352.500000,1161290.000000,96062.5
psi=0.05,539,1281617.250000,1195161.000000,86456.25
psi=0.10,539,1305882.000000,1229032.000000,76850.0
psi=0.20,539,1354411.500000,1296774.000000,57637.5
psi=0.30,539,1402941.000000,1364516.000000,38425.0
baseline,540,1014084.000000,1161290.000000,-147206.0
psi=0.05,540,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,540,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,540,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,540,1305633.600000,1364516.000000,-58882.39999999991
baseline,541,1741935.000000,1257352.500000,484582.5
psi=0.05,541,1717741.500000,1281617.250000,436124.25
psi=0.10,541,1693548.000000,1305882.000000,387666.0
psi=0.20,541,1645161.000000,1354411.500000,290749.49999999977
psi=0.30,541,1596774.000000,1402941.000000,193833.00000000023
baseline,542,1628048.500000,705882.000000,922166.5
psi=0.05,542,1615243.650000,785293.800000,829949.8500000002
psi=0.10,542,1602438.800000,864705.600000,737733.2000000002
psi=0.20,542,1576829.100000,1023529.200000,553299.9
psi=0.30,542,1551219.400000,1182352.800000,368866.6000000001
baseline,543,885245.250000,705882.000000,179363.25
psi=0.05,543,946720.725000,785293.800000,161426.92500000016
psi=0.10,543,1008196.200000,864705.600000,143490.59999999998
psi=0.20,543,1131147.150000,1023529.200000,107617.94999999984
psi=0.30,543,1254098.100000,1182352.800000,71745.30000000028
baseline,544,1257352.500000,885245.250000,372107.25
psi=0.05,544,1281617.250000,946720.725000,334896.5249999999
psi=0.10,544,1305882.000000,1008196.200000,297685.79999999993
psi=0.20,544,1354411.500000,1131147.150000,223264.3500000001
psi=0.30,544,1402941.000000,1254098.100000,148842.8999999999
baseline,545,1014084.000000,885245.250000,128838.75
psi=0.05,545,1062675.600000,946720.725000,115954.875
psi=0.10,545,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,545,1208450.400000,1131147.150000,77303.25
psi=0.30,545,1305633.600000,1254098.100000,51535.5
baseline,546,1628048.500000,0.000000,1628048.5
psi=0.05,546,1615243.650000,150000.000000,1465243.6500000001
psi=0.10,546,1602438.800000,300000.000000,1302438.8000000003
psi=0.20,546,1576829.100000,600000.000000,976829.1000000001
psi=0.30,546,1551219.400000,900000.000000,651219.3999999999
baseline,547,1014084.000000,1033536.375000,-19452.375
psi=0.05,547,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,547,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,547,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,547,1305633.600000,1313414.550000,-7780.949999999953
baseline,548,1014084.000000,885245.250000,128838.75
psi=0.05,548,1062675.600000,946720.725000,115954.875
psi=0.10,548,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,548,1208450.400000,1131147.150000,77303.25
psi=0.30,548,1305633.600000,1254098.100000,51535.5
baseline,549,1014084.000000,1741935.000000,-727851.0
psi=0.05,549,1062675.600000,1717741.500000,-655065.8999999999
psi=0.10,549,1111267.200000,1693548.000000,-582280.7999999998
psi=0.20,549,1208450.400000,1645161.000000,-436710.59999999986
psi=0.30,549,1305633.600000,1596774.000000,-291140.40000000014
baseline,550,1628048.500000,1014084.000000,613964.5
psi=0.05,550,1615243.650000,1062675.600000,552568.05
psi=0.10,550,1602438.800000,1111267.200000,491171.6000000001
psi=0.20,550,1576829.100000,1208450.400000,368378.7000000002
psi=0.30,550,1551219.400000,1305633.600000,245585.7999999998
baseline,551,1033536.375000,705882.000000,327654.375
psi=0.05,551,1080182.737500,785293.800000,294888.9375000001
psi=0.10,551,1126829.100000,864705.600000,262123.5
psi=0.20,551,1220121.825000,1023529.200000,196592.62500000012
psi=0.30,551,1313414.550000,1182352.800000,131061.75000000023
baseline,552,885245.250000,1628048.500000,-742803.25
psi=0.05,552,946720.725000,1615243.650000,-668522.925
psi=0.10,552,1008196.200000,1602438.800000,-594242.6000000002
psi=0.20,552,1131147.150000,1576829.100000,-445681.9500000002
psi=0.30,552,1254098.100000,1551219.400000,-297121.2999999998
baseline,553,1014084.000000,885245.250000,128838.75
psi=0.05,553,1062675.600000,946720.725000,115954.875
psi=0.10,553,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,553,1208450.400000,1131147.150000,77303.25
psi=0.30,553,1305633.600000,1254098.100000,51535.5
baseline,554,1628048.500000,1257352.500000,370696.0
psi=0.05,554,1615243.650000,1281617.250000,333626.40000000014
psi=0.10,554,1602438.800000,1305882.000000,296556.8000000003
psi=0.20,554,1576829.100000,1354411.500000,222417.6000000001
psi=0.30,554,1551219.400000,1402941.000000,148278.3999999999
baseline,555,1014084.000000,885245.250000,128838.75
psi=0.05,555,1062675.600000,946720.725000,115954.875
psi=0.10,555,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,555,1208450.400000,1131147.150000,77303.25
psi=0.30,555,1305633.600000,1254098.100000,51535.5
baseline,556,1014084.000000,705882.000000,308202.0
psi=0.05,556,1062675.600000,785293.800000,277381.80000000016
psi=0.10,556,1111267.200000,864705.600000,246561.6000000001
psi=0.20,556,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,556,1305633.600000,1182352.800000,123280.80000000028
baseline,557,1257352.500000,1161290.000000,96062.5
psi=0.05,557,1281617.250000,1195161.000000,86456.25
psi=0.10,557,1305882.000000,1229032.000000,76850.0
psi=0.20,557,1354411.500000,1296774.000000,57637.5
psi=0.30,557,1402941.000000,1364516.000000,38425.0
baseline,558,1014084.000000,1628048.500000,-613964.5
psi=0.05,558,1062675.600000,1615243.650000,-552568.05
psi=0.10,558,1111267.200000,1602438.800000,-491171.6000000001
psi=0.20,558,1208450.400000,1576829.100000,-368378.7000000002
psi=0.30,558,1305633.600000,1551219.400000,-245585.7999999998
baseline,559,1014084.000000,439024.250000,575059.75
psi=0.05,559,1062675.600000,545121.825000,517553.775
psi=0.10,559,1111267.200000,651219.400000,460047.80000000005
psi=0.20,559,1208450.400000,863414.550000,345035.84999999986
psi=0.30,559,1305633.600000,1075609.700000,230023.90000000014
baseline,560,1741935.000000,1161290.000000,580645.0
psi=0.05,560,1717741.500000,1195161.000000,522580.5
psi=0.10,560,1693548.000000,1229032.000000,464516.0
psi=0.20,560,1645161.000000,1296774.000000,348386.99999999977
psi=0.30,560,1596774.000000,1364516.000000,232258.00000000023
baseline,561,885245.250000,885245.250000,0.0
psi=0.05,561,946720.725000,946720.725000,0.0
psi=0.10,561,1008196.200000,1008196.200000,0.0
psi=0.20,561,1131147.150000,1131147.150000,0.0
psi=0.30,561,1254098.100000,1254098.100000,0.0
baseline,562,705882.000000,705882.000000,0.0
psi=0.05,562,785293.800000,785293.800000,0.0
psi=0.10,562,864705.600000,864705.600000,0.0
psi=0.20,562,1023529.200000,1023529.200000,0.0
psi=0.30,562,1182352.800000,1182352.800000,0.0
baseline,563,1014084.000000,1161290.000000,-147206.0
psi=0.05,563,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,563,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,563,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,563,1305633.600000,1364516.000000,-58882.39999999991
baseline,564,1257352.500000,705882.000000,551470.5
psi=0.05,564,1281617.250000,785293.800000,496323.45000000007
psi=0.10,564,1305882.000000,864705.600000,441176.3999999999
psi=0.20,564,1354411.500000,1023529.200000,330882.29999999993
psi=0.30,564,1402941.000000,1182352.800000,220588.2000000002
baseline,565,1014084.000000,1033536.375000,-19452.375
psi=0.05,565,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,565,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,565,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,565,1305633.600000,1313414.550000,-7780.949999999953
baseline,566,1628048.500000,705882.000000,922166.5
psi=0.05,566,1615243.650000,785293.800000,829949.8500000002
psi=0.10,566,1602438.800000,864705.600000,737733.2000000002
psi=0.20,566,1576829.100000,1023529.200000,553299.9
psi=0.30,566,1551219.400000,1182352.800000,368866.6000000001
baseline,567,885245.250000,580645.000000,304600.25
psi=0.05,567,946720.725000,672580.500000,274140.2250000001
psi=0.10,567,1008196.200000,764516.000000,243680.20000000007
psi=0.20,567,1131147.150000,948387.000000,182760.1499999999
psi=0.30,567,1254098.100000,1132258.000000,121840.1000000001
baseline,568,705882.000000,1033536.375000,-327654.375
psi=0.05,568,785293.800000,1080182.737500,-294888.9375000001
psi=0.10,568,864705.600000,1126829.100000,-262123.5
psi=0.20,568,1023529.200000,1220121.825000,-196592.62500000012
psi=0.30,568,1182352.800000,1313414.550000,-131061.75000000023
baseline,569,1014084.000000,1033536.375000,-19452.375
psi=0.05,569,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,569,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,569,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,569,1305633.600000,1313414.550000,-7780.949999999953
baseline,570,1014084.000000,705882.000000,308202.0
psi=0.05,570,1062675.600000,785293.800000,277381.80000000016
psi=0.10,570,1111267.200000,864705.600000,246561.6000000001
psi=0.20,570,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,570,1305633.600000,1182352.800000,123280.80000000028
baseline,571,1014084.000000,705882.000000,308202.0
psi=0.05,571,1062675.600000,785293.800000,277381.80000000016
psi=0.10,571,1111267.200000,864705.600000,246561.6000000001
psi=0.20,571,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,571,1305633.600000,1182352.800000,123280.80000000028
baseline,572,885245.250000,705882.000000,179363.25
psi=0.05,572,946720.725000,785293.800000,161426.92500000016
psi=0.10,572,1008196.200000,864705.600000,143490.59999999998
psi=0.20,572,1131147.150000,1023529.200000,107617.94999999984
psi=0.30,572,1254098.100000,1182352.800000,71745.30000000028
baseline,573,1257352.500000,1257352.500000,0.0
psi=0.05,573,1281617.250000,1281617.250000,0.0
psi=0.10,573,1305882.000000,1305882.000000,0.0
psi=0.20,573,1354411.500000,1354411.500000,0.0
psi=0.30,573,1402941.000000,1402941.000000,0.0
baseline,574,1014084.000000,1628048.500000,-613964.5
psi=0.05,574,1062675.600000,1615243.650000,-552568.05
psi=0.10,574,1111267.200000,1602438.800000,-491171.6000000001
psi=0.20,574,1208450.400000,1576829.100000,-368378.7000000002
psi=0.30,574,1305633.600000,1551219.400000,-245585.7999999998
baseline,575,1741935.000000,885245.250000,856689.75
psi=0.05,575,1717741.500000,946720.725000,771020.7749999999
psi=0.10,575,1693548.000000,1008196.200000,685351.7999999999
psi=0.20,575,1645161.000000,1131147.150000,514013.84999999986
psi=0.30,575,1596774.000000,1254098.100000,342675.90000000014
baseline,576,885245.250000,580645.000000,304600.25
psi=0.05,576,946720.725000,672580.500000,274140.2250000001
psi=0.10,576,1008196.200000,764516.000000,243680.20000000007
psi=0.20,576,1131147.150000,948387.000000,182760.1499999999
psi=0.30,576,1254098.100000,1132258.000000,121840.1000000001
baseline,577,885245.250000,1033536.375000,-148291.125
psi=0.05,577,946720.725000,1080182.737500,-133462.01249999995
psi=0.10,577,1008196.200000,1126829.100000,-118632.90000000002
psi=0.20,577,1131147.150000,1220121.825000,-88974.67500000028
psi=0.30,577,1254098.100000,1313414.550000,-59316.44999999995
baseline,578,1014084.000000,1161290.000000,-147206.0
psi=0.05,578,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,578,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,578,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,578,1305633.600000,1364516.000000,-58882.39999999991
baseline,579,1014084.000000,885245.250000,128838.75
psi=0.05,579,1062675.600000,946720.725000,115954.875
psi=0.10,579,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,579,1208450.400000,1131147.150000,77303.25
psi=0.30,579,1305633.600000,1254098.100000,51535.5
baseline,580,1014084.000000,1161290.000000,-147206.0
psi=0.05,580,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,580,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,580,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,580,1305633.600000,1364516.000000,-58882.39999999991
baseline,581,1014084.000000,705882.000000,308202.0
psi=0.05,581,1062675.600000,785293.800000,277381.80000000016
psi=0.10,581,1111267.200000,864705.600000,246561.6000000001
psi=0.20,581,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,581,1305633.600000,1182352.800000,123280.80000000028
baseline,582,1014084.000000,705882.000000,308202.0
psi=0.05,582,1062675.600000,785293.800000,277381.80000000016
psi=0.10,582,1111267.200000,864705.600000,246561.6000000001
psi=0.20,582,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,582,1305633.600000,1182352.800000,123280.80000000028
baseline,583,1014084.000000,885245.250000,128838.75
psi=0.05,583,1062675.600000,946720.725000,115954.875
psi=0.10,583,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,583,1208450.400000,1131147.150000,77303.25
psi=0.30,583,1305633.600000,1254098.100000,51535.5
baseline,584,1014084.000000,885245.250000,128838.75
psi=0.05,584,1062675.600000,946720.725000,115954.875
psi=0.10,584,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,584,1208450.400000,1131147.150000,77303.25
psi=0.30,584,1305633.600000,1254098.100000,51535.5
baseline,585,1014084.000000,1014084.000000,0.0
psi=0.05,585,1062675.600000,1062675.600000,0.0
psi=0.10,585,1111267.200000,1111267.200000,0.0
psi=0.20,585,1208450.400000,1208450.400000,0.0
psi=0.30,585,1305633.600000,1305633.600000,0.0
baseline,586,1257352.500000,705882.000000,551470.5
psi=0.05,586,1281617.250000,785293.800000,496323.45000000007
psi=0.10,586,1305882.000000,864705.600000,441176.3999999999
psi=0.20,586,1354411.500000,1023529.200000,330882.29999999993
psi=0.30,586,1402941.000000,1182352.800000,220588.2000000002
baseline,587,1628048.500000,1628048.500000,0.0
psi=0.05,587,1615243.650000,1615243.650000,0.0
psi=0.10,587,1602438.800000,1602438.800000,0.0
psi=0.20,587,1576829.100000,1576829.100000,0.0
psi=0.30,587,1551219.400000,1551219.400000,0.0
baseline,588,1628048.500000,1033536.375000,594512.125
psi=0.05,588,1615243.650000,1080182.737500,535060.9125000001
psi=0.10,588,1602438.800000,1126829.100000,475609.7000000002
psi=0.20,588,1576829.100000,1220121.825000,356707.2749999999
psi=0.30,588,1551219.400000,1313414.550000,237804.84999999986
baseline,589,1014084.000000,885245.250000,128838.75
psi=0.05,589,1062675.600000,946720.725000,115954.875
psi=0.10,589,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,589,1208450.400000,1131147.150000,77303.25
psi=0.30,589,1305633.600000,1254098.100000,51535.5
baseline,590,1014084.000000,1033536.375000,-19452.375
psi=0.05,590,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,590,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,590,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,590,1305633.600000,1313414.550000,-7780.949999999953
baseline,591,1741935.000000,1257352.500000,484582.5
psi=0.05,591,1717741.500000,1281617.250000,436124.25
psi=0.10,591,1693548.000000,1305882.000000,387666.0
psi=0.20,591,1645161.000000,1354411.500000,290749.49999999977
psi=0.30,591,1596774.000000,1402941.000000,193833.00000000023
baseline,592,1628048.500000,705882.000000,922166.5
psi=0.05,592,1615243.650000,785293.800000,829949.8500000002
psi=0.10,592,1602438.800000,864705.600000,737733.2000000002
psi=0.20,592,1576829.100000,1023529.200000,553299.9
psi=0.30,592,1551219.400000,1182352.800000,368866.6000000001
baseline,593,1014084.000000,1161290.000000,-147206.0
psi=0.05,593,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,593,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,593,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,593,1305633.600000,1364516.000000,-58882.39999999991
baseline,594,1014084.000000,705882.000000,308202.0
psi=0.05,594,1062675.600000,785293.800000,277381.80000000016
psi=0.10,594,1111267.200000,864705.600000,246561.6000000001
psi=0.20,594,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,594,1305633.600000,1182352.800000,123280.80000000028
baseline,595,1014084.000000,705882.000000,308202.0
psi=0.05,595,1062675.600000,785293.800000,277381.80000000016
psi=0.10,595,1111267.200000,864705.600000,246561.6000000001
psi=0.20,595,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,595,1305633.600000,1182352.800000,123280.80000000028
baseline,596,1014084.000000,885245.250000,128838.75
psi=0.05,596,1062675.600000,946720.725000,115954.875
psi=0.10,596,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,596,1208450.400000,1131147.150000,77303.25
psi=0.30,596,1305633.600000,1254098.100000,51535.5
baseline,597,1014084.000000,705882.000000,308202.0
psi=0.05,597,1062675.600000,785293.800000,277381.80000000016
psi=0.10,597,1111267.200000,864705.600000,246561.6000000001
psi=0.20,597,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,597,1305633.600000,1182352.800000,123280.80000000028
baseline,598,1014084.000000,705882.000000,308202.0
psi=0.05,598,1062675.600000,785293.800000,277381.80000000016
psi=0.10,598,1111267.200000,864705.600000,246561.6000000001
psi=0.20,598,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,598,1305633.600000,1182352.800000,123280.80000000028
baseline,599,1257352.500000,1257352.500000,0.0
psi=0.05,599,1281617.250000,1281617.250000,0.0
psi=0.10,599,1305882.000000,1305882.000000,0.0
psi=0.20,599,1354411.500000,1354411.500000,0.0
psi=0.30,599,1402941.000000,1402941.000000,0.0
baseline,600,1741935.000000,1161290.000000,580645.0
psi=0.05,600,1717741.500000,1195161.000000,522580.5
psi=0.10,600,1693548.000000,1229032.000000,464516.0
psi=0.20,600,1645161.000000,1296774.000000,348386.99999999977
psi=0.30,600,1596774.000000,1364516.000000,232258.00000000023
baseline,601,1014084.000000,1161290.000000,-147206.0
psi=0.05,601,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,601,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,601,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,601,1305633.600000,1364516.000000,-58882.39999999991
baseline,602,1014084.000000,439024.250000,575059.75
psi=0.05,602,1062675.600000,545121.825000,517553.775
psi=0.10,602,1111267.200000,651219.400000,460047.80000000005
psi=0.20,602,1208450.400000,863414.550000,345035.84999999986
psi=0.30,602,1305633.600000,1075609.700000,230023.90000000014
baseline,603,885245.250000,1161290.000000,-276044.75
psi=0.05,603,946720.725000,1195161.000000,-248440.2749999999
psi=0.10,603,1008196.200000,1229032.000000,-220835.79999999993
psi=0.20,603,1131147.150000,1296774.000000,-165626.8500000001
psi=0.30,603,1254098.100000,1364516.000000,-110417.8999999999
baseline,604,705882.000000,705882.000000,0.0
psi=0.05,604,785293.800000,785293.800000,0.0
psi=0.10,604,864705.600000,864705.600000,0.0
psi=0.20,604,1023529.200000,1023529.200000,0.0
psi=0.30,604,1182352.800000,1182352.800000,0.0
baseline,605,1014084.000000,705882.000000,308202.0
psi=0.05,605,1062675.600000,785293.800000,277381.80000000016
psi=0.10,605,1111267.200000,864705.600000,246561.6000000001
psi=0.20,605,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,605,1305633.600000,1182352.800000,123280.80000000028
baseline,606,1014084.000000,1161290.000000,-147206.0
psi=0.05,606,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,606,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,606,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,606,1305633.600000,1364516.000000,-58882.39999999991
baseline,607,1014084.000000,885245.250000,128838.75
psi=0.05,607,1062675.600000,946720.725000,115954.875
psi=0.10,607,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,607,1208450.400000,1131147.150000,77303.25
psi=0.30,607,1305633.600000,1254098.100000,51535.5
baseline,608,1014084.000000,705882.000000,308202.0
psi=0.05,608,1062675.600000,785293.800000,277381.80000000016
psi=0.10,608,1111267.200000,864705.600000,246561.6000000001
psi=0.20,608,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,608,1305633.600000,1182352.800000,123280.80000000028
baseline,609,885245.250000,705882.000000,179363.25
psi=0.05,609,946720.725000,785293.800000,161426.92500000016
psi=0.10,609,1008196.200000,864705.600000,143490.59999999998
psi=0.20,609,1131147.150000,1023529.200000,107617.94999999984
psi=0.30,609,1254098.100000,1182352.800000,71745.30000000028
baseline,610,1014084.000000,1161290.000000,-147206.0
psi=0.05,610,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,610,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,610,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,610,1305633.600000,1364516.000000,-58882.39999999991
baseline,611,1014084.000000,439024.250000,575059.75
psi=0.05,611,1062675.600000,545121.825000,517553.775
psi=0.10,611,1111267.200000,651219.400000,460047.80000000005
psi=0.20,611,1208450.400000,863414.550000,345035.84999999986
psi=0.30,611,1305633.600000,1075609.700000,230023.90000000014
baseline,612,1014084.000000,1741935.000000,-727851.0
psi=0.05,612,1062675.600000,1717741.500000,-655065.8999999999
psi=0.10,612,1111267.200000,1693548.000000,-582280.7999999998
psi=0.20,612,1208450.400000,1645161.000000,-436710.59999999986
psi=0.30,612,1305633.600000,1596774.000000,-291140.40000000014
baseline,613,1014084.000000,885245.250000,128838.75
psi=0.05,613,1062675.600000,946720.725000,115954.875
psi=0.10,613,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,613,1208450.400000,1131147.150000,77303.25
psi=0.30,613,1305633.600000,1254098.100000,51535.5
baseline,614,1033536.375000,1257352.500000,-223816.125
psi=0.05,614,1080182.737500,1281617.250000,-201434.51249999995
psi=0.10,614,1126829.100000,1305882.000000,-179052.8999999999
psi=0.20,614,1220121.825000,1354411.500000,-134289.6749999998
psi=0.30,614,1313414.550000,1402941.000000,-89526.44999999995
baseline,615,885245.250000,885245.250000,0.0
psi=0.05,615,946720.725000,946720.725000,0.0
psi=0.10,615,1008196.200000,1008196.200000,0.0
psi=0.20,615,1131147.150000,1131147.150000,0.0
psi=0.30,615,1254098.100000,1254098.100000,0.0
baseline,616,1628048.500000,1014084.000000,613964.5
psi=0.05,616,1615243.650000,1062675.600000,552568.05
psi=0.10,616,1602438.800000,1111267.200000,491171.6000000001
psi=0.20,616,1576829.100000,1208450.400000,368378.7000000002
psi=0.30,616,1551219.400000,1305633.600000,245585.7999999998
baseline,617,1628048.500000,580645.000000,1047403.5
psi=0.05,617,1615243.650000,672580.500000,942663.1500000001
psi=0.10,617,1602438.800000,764516.000000,837922.8000000003
psi=0.20,617,1576829.100000,948387.000000,628442.1000000001
psi=0.30,617,1551219.400000,1132258.000000,418961.3999999999
baseline,618,1014084.000000,705882.000000,308202.0
psi=0.05,618,1062675.600000,785293.800000,277381.80000000016
psi=0.10,618,1111267.200000,864705.600000,246561.6000000001
psi=0.20,618,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,618,1305633.600000,1182352.800000,123280.80000000028
baseline,619,1014084.000000,580645.000000,433439.0
psi=0.05,619,1062675.600000,672580.500000,390095.1000000001
psi=0.10,619,1111267.200000,764516.000000,346751.2000000002
psi=0.20,619,1208450.400000,948387.000000,260063.3999999999
psi=0.30,619,1305633.600000,1132258.000000,173375.6000000001
baseline,620,1014084.000000,580645.000000,433439.0
psi=0.05,620,1062675.600000,672580.500000,390095.1000000001
psi=0.10,620,1111267.200000,764516.000000,346751.2000000002
psi=0.20,620,1208450.400000,948387.000000,260063.3999999999
psi=0.30,620,1305633.600000,1132258.000000,173375.6000000001
baseline,621,1257352.500000,1033536.375000,223816.125
psi=0.05,621,1281617.250000,1080182.737500,201434.51249999995
psi=0.10,621,1305882.000000,1126829.100000,179052.8999999999
psi=0.20,621,1354411.500000,1220121.825000,134289.6749999998
psi=0.30,621,1402941.000000,1313414.550000,89526.44999999995
baseline,622,1014084.000000,885245.250000,128838.75
psi=0.05,622,1062675.600000,946720.725000,115954.875
psi=0.10,622,1111267.200000,1008196.200000,103071.00000000012
