mode,instanceId,expectedTruthfulReward,expectedShortcutReward,expectedRewardGap
psi=0.05,61,1062675.600000,1062675.600000,0.0
psi=0.10,61,1111267.200000,1111267.200000,0.0
psi=0.20,61,1208450.400000,1208450.400000,0.0
psi=0.30,61,1305633.600000,1305633.600000,0.0
baseline,62,1257352.500000,885245.250000,372107.25
psi=0.05,62,1281617.250000,946720.725000,334896.5249999999
psi=0.10,62,1305882.000000,1008196.200000,297685.79999999993
psi=0.20,62,1354411.500000,1131147.150000,223264.3500000001
psi=0.30,62,1402941.000000,1254098.100000,148842.8999999999
baseline,63,1014084.000000,1033536.375000,-19452.375
psi=0.05,63,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,63,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,63,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,63,1305633.600000,1313414.550000,-7780.949999999953
baseline,64,1014084.000000,885245.250000,128838.75
psi=0.05,64,1062675.600000,946720.725000,115954.875
psi=0.10,64,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,64,1208450.400000,1131147.150000,77303.25
psi=0.30,64,1305633.600000,1254098.100000,51535.5
baseline,65,1014084.000000,1628048.500000,-613964.5
psi=0.05,65,1062675.600000,1615243.650000,-552568.05
psi=0.10,65,1111267.200000,1602438.800000,-491171.6000000001
psi=0.20,65,1208450.400000,1576829.100000,-368378.7000000002
psi=0.30,65,1305633.600000,1551219.400000,-245585.7999999998
baseline,66,1014084.000000,705882.000000,308202.0
psi=0.05,66,1062675.600000,785293.800000,277381.80000000016
psi=0.10,66,1111267.200000,864705.600000,246561.6000000001
psi=0.20,66,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,66,1305633.600000,1182352.800000,123280.80000000028
baseline,67,1014084.000000,705882.000000,308202.0
psi=0.05,67,1062675.600000,785293.800000,277381.80000000016
psi=0.10,67,1111267.200000,864705.600000,246561.6000000001
psi=0.20,67,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,67,1305633.600000,1182352.800000,123280.80000000028
baseline,68,1014084.000000,885245.250000,128838.75
psi=0.05,68,1062675.600000,946720.725000,115954.875
psi=0.10,68,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,68,1208450.400000,1131147.150000,77303.25
psi=0.30,68,1305633.600000,1254098.100000,51535.5
baseline,69,1257352.500000,1033536.375000,223816.125
psi=0.05,69,1281617.250000,1080182.737500,201434.51249999995
psi=0.10,69,1305882.000000,1126829.100000,179052.8999999999
psi=0.20,69,1354411.500000,1220121.825000,134289.6749999998
psi=0.30,69,1402941.000000,1313414.550000,89526.44999999995
baseline,70,885245.250000,1033536.375000,-148291.125
psi=0.05,70,946720.725000,1080182.737500,-133462.01249999995
psi=0.10,70,1008196.200000,1126829.100000,-118632.90000000002
psi=0.20,70,1131147.150000,1220121.825000,-88974.67500000028
psi=0.30,70,1254098.100000,1313414.550000,-59316.44999999995
baseline,71,1014084.000000,580645.000000,433439.0
psi=0.05,71,1062675.600000,672580.500000,390095.1000000001
psi=0.10,71,1111267.200000,764516.000000,346751.2000000002
psi=0.20,71,1208450.400000,948387.000000,260063.3999999999
psi=0.30,71,1305633.600000,1132258.000000,173375.6000000001
baseline,72,1014084.000000,1161290.000000,-147206.0
psi=0.05,72,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,72,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,72,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,72,1305633.600000,1364516.000000,-58882.39999999991
baseline,73,1628048.500000,439024.250000,1189024.25
psi=0.05,73,1615243.650000,545121.825000,1070121.8250000002
psi=0.10,73,1602438.800000,651219.400000,951219.4000000001
psi=0.20,73,1576829.100000,863414.550000,713414.55
psi=0.30,73,1551219.400000,1075609.700000,475609.69999999995
baseline,74,1257352.500000,1161290.000000,96062.5
psi=0.05,74,1281617.250000,1195161.000000,86456.25
psi=0.10,74,1305882.000000,1229032.000000,76850.0
psi=0.20,74,1354411.500000,1296774.000000,57637.5
psi=0.30,74,1402941.000000,1364516.000000,38425.0
baseline,75,1257352.500000,705882.000000,551470.5
psi=0.05,75,1281617.250000,785293.800000,496323.45000000007
psi=0.10,75,1305882.000000,864705.600000,441176.3999999999
psi=0.20,75,1354411.500000,1023529.200000,330882.29999999993
psi=0.30,75,1402941.000000,1182352.800000,220588.2000000002
baseline,76,1014084.000000,439024.250000,575059.75
psi=0.05,76,1062675.600000,545121.825000,517553.775
psi=0.10,76,1111267.200000,651219.400000,460047.80000000005
psi=0.20,76,1208450.400000,863414.550000,345035.84999999986
psi=0.30,76,1305633.600000,1075609.700000,230023.90000000014
baseline,77,1741935.000000,1033536.375000,708398.625
psi=0.05,77,1717741.500000,1080182.737500,637558.7625
psi=0.10,77,1693548.000000,1126829.100000,566718.8999999999
psi=0.20,77,1645161.000000,1220121.825000,425039.1749999996
psi=0.30,77,1596774.000000,1313414.550000,283359.4500000002
baseline,78,1014084.000000,885245.250000,128838.75
psi=0.05,78,1062675.600000,946720.725000,115954.875
psi=0.10,78,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,78,1208450.400000,1131147.150000,77303.25
psi=0.30,78,1305633.600000,1254098.100000,51535.5
baseline,79,1014084.000000,1014084.000000,0.0
psi=0.05,79,1062675.600000,1062675.600000,0.0
psi=0.10,79,1111267.200000,1111267.200000,0.0
psi=0.20,79,1208450.400000,1208450.400000,0.0
psi=0.30,79,1305633.600000,1305633.600000,0.0
